,University Rating,CGPA,Research
0,2,17.067142857142855,1
1,2,17.29714285714286,0
2,1,16.327142857142857,0
3,3,17.90714285714286,0
4,2,16.467142857142857,1
5,1,16.377142857142857,1
6,3,17.627142857142857,0
7,3,17.597142857142856,0
8,2,16.61714285714286,1
9,3,18.04714285714286,0
10,1,16.04714285714286,1
11,1,16.217142857142857,1
12,2,17.087142857142858,0
13,2,16.107142857142858,1
14,1,15.727142857142859,1
15,3,17.72714285714286,0
16,4,17.927142857142858,0
17,1,16.487142857142857,0
18,3,17.457142857142856,0
19,1,16.147142857142857,1
20,2,17.667142857142856,0
21,3,18.247142857142858,0
22,4,17.607142857142858,0
23,2,16.68714285714286,1
24,2,16.027142857142856,1
25,0,16.337142857142858,1
26,4,17.897142857142857,0
27,1,16.107142857142858,1
28,2,16.647142857142857,0
29,2,17.147142857142857,1
30,1,16.897142857142857,1
31,0,16.457142857142856,1
32,3,18.137142857142855,0
33,1,15.947142857142858,1
34,4,17.50714285714286,0
35,1,16.807142857142857,0
36,3,17.887142857142855,0
37,0,16.597142857142856,1
38,2,16.327142857142857,1
39,1,16.337142857142858,1
40,4,17.427142857142858,0
41,1,15.897142857142857,1
42,1,16.447142857142858,1
43,2,16.467142857142857,0
44,1,16.93714285714286,1
45,1,16.327142857142857,1
46,1,16.807142857142857,0
47,3,17.207142857142856,0
48,0,16.057142857142857,1
49,1,16.47714285714286,1
50,1,16.087142857142858,1
51,0,16.627142857142857,0
52,1,16.667142857142856,0
53,4,18.247142857142858,0
54,1,17.447142857142858,1
55,2,17.207142857142856,0
56,1,16.737142857142857,1
57,4,17.427142857142858,0
58,2,17.277142857142856,0
59,1,16.68714285714286,1
60,2,17.097142857142856,0
61,3,17.807142857142857,0
62,1,16.11714285714286,1
63,1,16.567142857142855,1
64,1,16.287142857142857,1
65,0,16.877142857142857,0
66,3,17.807142857142857,0
67,4,18.147142857142857,1
68,1,17.807142857142857,0
69,2,16.107142857142858,1
70,1,16.247142857142858,1
71,3,16.54714285714286,0
72,3,15.907142857142858,1
73,0,16.257142857142856,1
74,4,18.247142857142858,0
75,4,17.087142857142858,1
76,0,16.127142857142857,1
77,2,17.18714285714286,0
78,2,17.197142857142858,1
79,2,17.68714285714286,0
80,3,17.887142857142855,0
81,1,16.327142857142857,1
82,4,18.317142857142855,0
83,2,16.997142857142858,0
84,3,17.54714285714286,1
85,3,16.807142857142857,1
86,1,16.217142857142857,1
87,2,17.167142857142856,0
88,1,16.467142857142857,1
89,1,16.087142857142858,1
90,2,17.207142857142856,0
91,2,17.54714285714286,0
92,0,15.787142857142857,1
93,2,16.647142857142857,0
94,1,16.467142857142857,1
95,0,15.947142857142858,1
96,3,17.487142857142857,1
97,3,16.917142857142856,1
98,2,17.00714285714286,1
99,4,17.787142857142857,0
100,1,16.517142857142858,1
101,4,17.897142857142857,0
102,3,17.57714285714286,0
103,0,15.857142857142858,1
104,2,17.247142857142858,1
105,4,17.717142857142857,0
106,1,17.207142857142856,1
107,2,17.15714285714286,0
108,3,17.787142857142857,0
109,3,17.967142857142857,0
110,0,16.097142857142856,1
111,1,16.097142857142856,1
112,2,16.717142857142857,1
113,3,18.107142857142858,0
114,3,17.777142857142856,0
115,4,17.527142857142856,0
116,4,18.267142857142858,0
117,0,15.677142857142858,1
118,3,17.317142857142855,0
119,1,16.327142857142857,1
120,4,17.087142857142858,1
121,2,16.467142857142857,0
122,0,15.907142857142858,1
123,3,18.127142857142857,0
124,2,17.387142857142855,0
125,4,16.36714285714286,1
126,3,16.927142857142858,0
127,2,17.067142857142855,0
128,2,16.57714285714286,0
129,1,16.267142857142858,1
130,2,17.667142857142856,0
131,1,16.167142857142856,0
132,1,16.377142857142857,1
133,2,17.557142857142857,0
134,1,17.087142857142858,0
135,2,16.65714285714286,1
136,1,16.417142857142856,1
137,4,17.887142857142855,0
138,4,17.397142857142857,0
139,4,18.107142857142858,0
140,2,17.247142857142858,1
141,0,16.007142857142856,1
142,3,16.817142857142855,1
143,1,16.147142857142857,1
144,2,17.207142857142856,0
145,2,16.987142857142857,1
146,1,16.097142857142856,1
147,3,16.817142857142855,1
148,1,16.277142857142856,1
149,1,16.807142857142857,0
150,0,16.97714285714286,0
151,1,15.877142857142857,1
152,2,15.977142857142859,1
153,3,17.417142857142856,0
154,2,16.97714285714286,1
155,4,17.787142857142857,0
156,0,15.247142857142858,0
157,3,15.997142857142858,1
158,2,17.317142857142855,0
159,4,17.677142857142858,0
160,0,15.947142857142858,1
161,3,17.707142857142856,0
162,2,16.86714285714286,1
163,1,16.667142857142856,1
164,2,15.897142857142857,1
165,1,16.007142857142856,1
166,0,15.977142857142859,1
167,2,16.107142857142858,1
168,1,17.43714285714286,0
169,2,16.11714285714286,0
170,3,17.677142857142858,0
171,0,16.147142857142857,1
172,0,16.217142857142857,1
173,1,16.767142857142858,1
174,3,17.217142857142857,0
